TIME,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CRI,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IRL,ISL,ISR,ITA,JPN,KOR,LUX,LVA,MEX,NLD,NOR,NZL,POL,PRT,ROU,SVK,SVN,SWE,USA,ZAF
2005-Q4,1.844351398,0.761443207,0.889946126,0.767038264,1.649948102,0.988734322,1.071625411,1.485458396,0.471373573,0.324723372,1.001443906,2.30923721,0.28743607,0.668573267,1.043946134,0.501015516,1.196947851,1.130171086,1.421164862,3.933520491,1.683677313,1.755779643,0.153526917,0.176814404,1.012464666,5.18345186,3.766505726,1.670647595,0.630550925,0.225499966,-0.403225806,1.744701196,0.13303494,2.467922653,1.457637276,1.763644436,0.693039165,0.567928238,0.669356074
2006-Q1,2.625726454,0.09927512,1.173819467,0.614857043,1.563917236,0.810995411,1.207674371,1.170702259,0.961211712,1.256661041,1.150570686,2.29725709,2.494514835,0.788798161,0.344745269,3.258220871,0.470507117,0.79221873,1.321218929,1.959516889,-0.51044919,1.290474543,0.149610197,0.158048487,1.639117138,0.084699513,-0.802459372,1.757056817,0.623937875,0.70674634,1.64541341,1.531047485,0.817392645,1.611534264,2.377695495,0.716035732,1.538280651,1.34866612,1.757168426
2006-Q2,1.289231891,0.228847299,0.15893883,0.354937099,1.738536484,0.051646385,0.814765082,2.580709305,1.722767893,2.982414581,0.975689234,2.09478448,0.244923148,1.031334793,0.235756048,0.307050511,1.397055216,1.420127653,1.276789436,0.16254552,4.443068054,2.200874571,0.70757194,0.155653082,0.730602028,0.283221508,4.993182016,0.971575413,1.497031303,0.125089789,0.455813755,2.319533915,0.96512188,3.484011875,2.33612314,2.164406609,1.647119268,0.245583731,1.420243604
2006-Q3,2.791000082,1.485106286,1.346425894,0.880418794,2.09843355,0.279245485,0.657077406,2.118270882,0.77994355,-0.666822567,0.929862547,2.290224851,0.950365525,0.05702502,0.142617665,0.477438963,1.401146937,0.542186103,1.611894739,0.625636528,0.042242639,-0.65346495,0.479358063,-0.205348917,1.613954951,0.49382694,3.371870748,0.280034355,0.598152747,1.027564479,0.640332464,1.599288756,-0.112732238,0.781315517,1.909726233,1.680955271,1.174899483,0.150456188,1.381152984
2006-Q4,2.102478656,1.285179945,0.851218487,1.135413316,1.642885005,0.398598242,1.286994505,2.999229658,1.514652417,-0.271021311,0.948808227,2.480962784,0.785150741,0.73821036,0.436638333,2.542940426,1.260851739,0.972950454,1.594383978,0.901859184,0.945841005,1.453156611,1.296625507,1.351538247,0.779357615,1.458742893,4.476931288,0.248689285,0.824500468,1.832666418,0.882755715,-1.435946803,0.711999077,1.311628875,2.81717319,2.179859633,0.661101192,0.843711696,1.382817924
2007-Q1,2.358168322,1.385331201,1.139579177,1.417379597,1.4429560320000001,0.639626644,0.56849388,1.088440543,0.062645067,0.33129799,0.9203708,3.315681774,1.932458496,0.740916318,1.040825177,-0.785285662,2.186717239,-1.261069321,1.62635968,5.516013888,1.386953928,2.036011742,-0.274261556,0.670288386,1.674043596,5.019353865,1.632162031,0.700347323,1.145697378,0.027707845,1.230055969,4.461335298,1.052270567,1.809016335,2.098446791,1.881463334,0.959994736,0.293598861,1.623672013
2007-Q2,2.179739626,0.647185616,1.018544234,0.456797608,1.932279852,0.968907263,1.545926417,2.676163456,0.838052582,-0.447886765,0.902488869,0.390309005,1.797506864,0.673440708,0.658963332,2.911721824,0.726207915,-0.122505146,1.666702241,-1.117150092,6.130305399,1.667622636,0.271710179,0.02993475,1.730290857,2.209702452,2.053603284,0.772135159,0.511646773,-0.00159044,0.909784829,1.339039818,0.443121174,2.138566468,2.475316882,1.279030912,0.52975915,0.63843452999999994,0.819557991
2007-Q3,1.338005452,1.139659837,0.322290611,0.77208828,1.292175872,0.419854575,0.845488862,1.050274606,0.518079044,0.939515371,0.767469701,0.201066071,0.918417552,0.452016416,0.760831396,-0.623113458,0.192482833,0.513949389,1.576563345,-2.62803025,-1.128455798,1.894814999,0.208515152,-0.552461581,1.173831453,-0.734537985,1.852582393,0.629399788,1.117501908,1.285493893,0.744163225,1.738282754,0.205999342,0.943225462,2.368116484,2.010873235,0.779430301,0.602306657,1.171935193
2007-Q4,3.068227943,0.402588143,0.845826085,0.405803087,2.127336758,0.113617046,0.891525066,1.824048207,0.644263863,1.005988508,0.630260395,-0.600338298,1.319947274,0.199015588,0.660700654,-0.495876772,-0.061252585,0.323943309,0.866016391,3.72263414,4.085255043,1.365338986,-0.359101905,0.445625172,2.156948555,0.793246783,-1.132169126,0.392800056,1.353023647,1.09003592,0.164373554,1.319952701,1.118249303,3.290003489,6.379097663,0.17149829,1.105149061,0.609644003,1.417079709
2008-Q1,0.944635427,1.050220509,0.821040694,0.431929904,1.630861016,0.076640567,0.846068375,2.247401368,0.640153777,-0.041561001,0.221135567,-2.220161586,-0.122968349,0.500172285,0.484699608,0.611597606,2.740886019,0.888642867,2.237805483,-2.510734997,-3.039920478,0.944287076,1.165336477,0.366901946,0.402394858,1.072631667,1.978189663,-0.20279578,0.327531403,-1.017831138,-0.314025811,1.386747076,0.007673184,4.666233176,-2.847013256,1.629278397,-0.754495753,-0.407429474,0.420005275
